State,filter,Cases,Range,"B.1.1.7 Variant ","P.1 Variant ","B.1.351 Variant "
AL,Variant B.1.1.7,6,1 to 50,6,0,0
AK,Variant B.1.1.7,1,1 to 50,1,0,0
AS,Variant B.1.1.7,0,0 to 0,0,0,0
AZ,Variant B.1.1.7,4,1 to 50,4,0,0
AR,Variant B.1.1.7,0,0 to 0,0,0,0
CA,Variant B.1.1.7,156,151 to 200,156,0,0
CO,Variant B.1.1.7,37,1 to 50,37,0,0
CT,Variant B.1.1.7,17,1 to 50,17,0,0
DE,Variant B.1.1.7,3,1 to 50,3,0,0
FL,Variant B.1.1.7,343,301 to 350,343,0,0
GA,Variant B.1.1.7,37,1 to 50,37,0,0
GU,Variant B.1.1.7,0,0 to 0,0,0,0
HI,Variant B.1.1.7,2,1 to 50,2,0,0
ID,Variant B.1.1.7,0,0 to 0,0,0,0
IL,Variant B.1.1.7,22,1 to 50,22,0,0
IN,Variant B.1.1.7,12,1 to 50,12,0,0
IA,Variant B.1.1.7,3,1 to 50,3,0,0
KS,Variant B.1.1.7,0,0 to 0,0,0,0
KY,Variant B.1.1.7,2,1 to 50,2,0,0
LA,Variant B.1.1.7,8,1 to 50,8,0,0
ME,Variant B.1.1.7,0,0 to 0,0,0,0
MH,Variant B.1.1.7,0,0 to 0,0,0,0
MD,Variant B.1.1.7,17,1 to 50,17,0,6
MA,Variant B.1.1.7,9,1 to 50,9,0,0
MI,Variant B.1.1.7,29,1 to 50,29,0,0
FM,Variant B.1.1.7,0,0 to 0,0,0,0
MN,Variant B.1.1.7,16,1 to 50,16,2,0
MS,Variant B.1.1.7,0,0 to 0,0,0,0
MO,Variant B.1.1.7,0,0 to 0,0,0,0
MT,Variant B.1.1.7,0,0 to 0,0,0,0
NE,Variant B.1.1.7,0,0 to 0,0,0,0
NV,Variant B.1.1.7,5,1 to 50,5,0,0
NH,Variant B.1.1.7,0,0 to 0,0,0,0
NJ,Variant B.1.1.7,31,1 to 50,31,0,0
NM,Variant B.1.1.7,2,1 to 50,2,0,0
NY,Variant B.1.1.7,59,51 to 100,59,0,0
NC,Variant B.1.1.7,21,1 to 50,21,0,0
ND,Variant B.1.1.7,0,0 to 0,0,0,0
MP,Variant B.1.1.7,0,0 to 0,0,0,0
OH,Variant B.1.1.7,0,0 to 0,0,0,0
OK,Variant B.1.1.7,0,0 to 0,0,1,0
OR,Variant B.1.1.7,4,1 to 50,4,0,0
PW,Variant B.1.1.7,0,0 to 0,0,0,0
PA,Variant B.1.1.7,25,1 to 50,25,0,0
PR,Variant B.1.1.7,0,0 to 0,0,0,0
RI,Variant B.1.1.7,0,0 to 0,0,0,0
SC,Variant B.1.1.7,1,1 to 50,1,0,2
SD,Variant B.1.1.7,0,0 to 0,0,0,0
TN,Variant B.1.1.7,5,1 to 50,5,0,0
TX,Variant B.1.1.7,35,1 to 50,35,0,0
UT,Variant B.1.1.7,3,1 to 50,3,0,0
VT,Variant B.1.1.7,0,0 to 0,0,0,0
VI,Variant B.1.1.7,0,0 to 0,0,0,0
VA,Variant B.1.1.7,5,1 to 50,5,0,1
WA,Variant B.1.1.7,5,1 to 50,5,0,0
WV,Variant B.1.1.7,0,0 to 0,0,0,0
WI,Variant B.1.1.7,2,1 to 50,2,0,0
WY,Variant B.1.1.7,5,1 to 50,5,0,0
AL,Variant P.1,0,0 to 0,6,0,0
AK,Variant P.1,0,0 to 0,1,0,0
AS,Variant P.1,0,0 to 0,0,0,0
AZ,Variant P.1,0,0 to 0,4,0,0
AR,Variant P.1,0,0 to 0,0,0,0
CA,Variant P.1,0,0 to 0,156,0,0
CO,Variant P.1,0,0 to 0,37,0,0
CT,Variant P.1,0,0 to 0,17,0,0
DE,Variant P.1,0,0 to 0,3,0,0
FL,Variant P.1,0,0 to 0,343,0,0
GA,Variant P.1,0,0 to 0,37,0,0
GU,Variant P.1,0,0 to 0,0,0,0
HI,Variant P.1,0,0 to 0,2,0,0
ID,Variant P.1,0,0 to 0,0,0,0
IL,Variant P.1,0,0 to 0,22,0,0
IN,Variant P.1,0,0 to 0,12,0,0
IA,Variant P.1,0,0 to 0,3,0,0
KS,Variant P.1,0,0 to 0,0,0,0
KY,Variant P.1,0,0 to 0,2,0,0
LA,Variant P.1,0,0 to 0,8,0,0
ME,Variant P.1,0,0 to 0,0,0,0
MH,Variant P.1,0,0 to 0,0,0,0
MD,Variant P.1,0,0 to 0,17,0,6
MA,Variant P.1,0,0 to 0,9,0,0
MI,Variant P.1,0,0 to 0,29,0,0
FM,Variant P.1,0,0 to 0,0,0,0
MN,Variant P.1,2,1 to 50,16,2,0
MS,Variant P.1,0,0 to 0,0,0,0
MO,Variant P.1,0,0 to 0,0,0,0
MT,Variant P.1,0,0 to 0,0,0,0
NE,Variant P.1,0,0 to 0,0,0,0
NV,Variant P.1,0,0 to 0,5,0,0
NH,Variant P.1,0,0 to 0,0,0,0
NJ,Variant P.1,0,0 to 0,31,0,0
NM,Variant P.1,0,0 to 0,2,0,0
NY,Variant P.1,0,0 to 0,59,0,0
NC,Variant P.1,0,0 to 0,21,0,0
ND,Variant P.1,0,0 to 0,0,0,0
MP,Variant P.1,0,0 to 0,0,0,0
OH,Variant P.1,0,0 to 0,0,0,0
OK,Variant P.1,1,1 to 50,0,1,0
OR,Variant P.1,0,0 to 0,4,0,0
PW,Variant P.1,0,0 to 0,0,0,0
PA,Variant P.1,0,0 to 0,25,0,0
PR,Variant P.1,0,0 to 0,0,0,0
RI,Variant P.1,0,0 to 0,0,0,0
SC,Variant P.1,0,0 to 0,1,0,2
SD,Variant P.1,0,0 to 0,0,0,0
TN,Variant P.1,0,0 to 0,5,0,0
TX,Variant P.1,0,0 to 0,35,0,0
UT,Variant P.1,0,0 to 0,3,0,0
VT,Variant P.1,0,0 to 0,0,0,0
VI,Variant P.1,0,0 to 0,0,0,0
VA,Variant P.1,0,0 to 0,5,0,1
WA,Variant P.1,0,0 to 0,5,0,0
WV,Variant P.1,0,0 to 0,0,0,0
WI,Variant P.1,0,0 to 0,2,0,0
WY,Variant P.1,0,0 to 0,5,0,0
AL,Variant B.1.351,0,0 to 0,6,0,0
AK,Variant B.1.351,0,0 to 0,1,0,0
AS,Variant B.1.351,0,0 to 0,0,0,0
AZ,Variant B.1.351,0,0 to 0,4,0,0
AR,Variant B.1.351,0,0 to 0,0,0,0
CA,Variant B.1.351,0,0 to 0,156,0,0
CO,Variant B.1.351,0,0 to 0,37,0,0
CT,Variant B.1.351,0,0 to 0,17,0,0
DE,Variant B.1.351,0,0 to 0,3,0,0
FL,Variant B.1.351,0,0 to 0,343,0,0
GA,Variant B.1.351,0,0 to 0,37,0,0
GU,Variant B.1.351,0,0 to 0,0,0,0
HI,Variant B.1.351,0,0 to 0,2,0,0
ID,Variant B.1.351,0,0 to 0,0,0,0
IL,Variant B.1.351,0,0 to 0,22,0,0
IN,Variant B.1.351,0,0 to 0,12,0,0
IA,Variant B.1.351,0,0 to 0,3,0,0
KS,Variant B.1.351,0,0 to 0,0,0,0
KY,Variant B.1.351,0,0 to 0,2,0,0
LA,Variant B.1.351,0,0 to 0,8,0,0
ME,Variant B.1.351,0,0 to 0,0,0,0
MH,Variant B.1.351,0,0 to 0,0,0,0
MD,Variant B.1.351,6,1 to 50,17,0,6
MA,Variant B.1.351,0,0 to 0,9,0,0
MI,Variant B.1.351,0,0 to 0,29,0,0
FM,Variant B.1.351,0,0 to 0,0,0,0
MN,Variant B.1.351,0,0 to 0,16,2,0
MS,Variant B.1.351,0,0 to 0,0,0,0
MO,Variant B.1.351,0,0 to 0,0,0,0
MT,Variant B.1.351,0,0 to 0,0,0,0
NE,Variant B.1.351,0,0 to 0,0,0,0
NV,Variant B.1.351,0,0 to 0,5,0,0
NH,Variant B.1.351,0,0 to 0,0,0,0
NJ,Variant B.1.351,0,0 to 0,31,0,0
NM,Variant B.1.351,0,0 to 0,2,0,0
NY,Variant B.1.351,0,0 to 0,59,0,0
NC,Variant B.1.351,0,0 to 0,21,0,0
ND,Variant B.1.351,0,0 to 0,0,0,0
MP,Variant B.1.351,0,0 to 0,0,0,0
OH,Variant B.1.351,0,0 to 0,0,0,0
OK,Variant B.1.351,0,0 to 0,0,1,0
OR,Variant B.1.351,0,0 to 0,4,0,0
PW,Variant B.1.351,0,0 to 0,0,0,0
PA,Variant B.1.351,0,0 to 0,25,0,0
PR,Variant B.1.351,0,0 to 0,0,0,0
RI,Variant B.1.351,0,0 to 0,0,0,0
SC,Variant B.1.351,2,1 to 50,1,0,2
SD,Variant B.1.351,0,0 to 0,0,0,0
TN,Variant B.1.351,0,0 to 0,5,0,0
TX,Variant B.1.351,0,0 to 0,35,0,0
UT,Variant B.1.351,0,0 to 0,3,0,0
VT,Variant B.1.351,0,0 to 0,0,0,0
VI,Variant B.1.351,0,0 to 0,0,0,0
VA,Variant B.1.351,1,1 to 50,5,0,1
WA,Variant B.1.351,0,0 to 0,5,0,0
WV,Variant B.1.351,0,0 to 0,0,0,0
WI,Variant B.1.351,0,0 to 0,2,0,0
WY,Variant B.1.351,0,0 to 0,5,0,0
,,,,,,
