State,filter,Range,"B.1.1.7 Variant ","P.1 Variant ","B.1.351 Variant "
AL,Variant B.1.1.7,1 to 50,6,,
AK,Variant B.1.1.7,1 to 50,1,,
AS,Variant B.1.1.7,0 to 0,0,,
AZ,Variant B.1.1.7,1 to 50,3,,
AR,Variant B.1.1.7,0 to 0,0,,
CA,Variant B.1.1.7,101 to 150,145,,
CO,Variant B.1.1.7,1 to 50,13,,
CT,Variant B.1.1.7,1 to 50,17,,
DE,Variant B.1.1.7,1 to 50,3,,
FL,Variant B.1.1.7,151 to 200,187,,
GA,Variant B.1.1.7,1 to 50,23,,
GU,Variant B.1.1.7,0 to 0,0,,
HI,Variant B.1.1.7,0 to 0,0,,
ID,Variant B.1.1.7,0 to 0,0,,
IL,Variant B.1.1.7,1 to 50,17,,
IN,Variant B.1.1.7,1 to 50,8,,
IA,Variant B.1.1.7,1 to 50,3,,
KS,Variant B.1.1.7,0 to 0,0,,
KY,Variant B.1.1.7,1 to 50,2,,
LA,Variant B.1.1.7,1 to 50,5,,
ME,Variant B.1.1.7,0 to 0,0,,
MH,Variant B.1.1.7,0 to 0,0,,
MD,Variant B.1.1.7,1 to 50,12,,3
MA,Variant B.1.1.7,1 to 50,7,,
MI,Variant B.1.1.7,1 to 50,29,,
FM,Variant B.1.1.7,0 to 0,0,,
MN,Variant B.1.1.7,1 to 50,16,2,
MS,Variant B.1.1.7,0 to 0,0,,
MO,Variant B.1.1.7,0 to 0,0,,
MT,Variant B.1.1.7,0 to 0,0,,
NE,Variant B.1.1.7,0 to 0,0,,
NV,Variant B.1.1.7,1 to 50,5,,
NH,Variant B.1.1.7,0 to 0,0,,
NJ,Variant B.1.1.7,1 to 50,11,,
NM,Variant B.1.1.7,1 to 50,2,,
NY,Variant B.1.1.7,1 to 50,42,,
NC,Variant B.1.1.7,1 to 50,5,,
ND,Variant B.1.1.7,0 to 0,0,,
MP,Variant B.1.1.7,0 to 0,0,,
OH,Variant B.1.1.7,0 to 0,0,,
OK,Variant B.1.1.7,0 to 0,0,,
OR,Variant B.1.1.7,1 to 50,4,,
PW,Variant B.1.1.7,0 to 0,0,,
PA,Variant B.1.1.7,1 to 50,12,,
PR,Variant B.1.1.7,0 to 0,0,,
RI,Variant B.1.1.7,0 to 0,0,,
SC,Variant B.1.1.7,1 to 50,1,,2
SD,Variant B.1.1.7,0 to 0,0,,
TN,Variant B.1.1.7,1 to 50,2,,
TX,Variant B.1.1.7,1 to 50,12,,
UT,Variant B.1.1.7,1 to 50,3,,
VT,Variant B.1.1.7,0 to 0,0,,
VI,Variant B.1.1.7,0 to 0,0,,
VA,Variant B.1.1.7,1 to 50,4,,
WA,Variant B.1.1.7,1 to 50,5,,
WV,Variant B.1.1.7,0 to 0,0,,
WI,Variant B.1.1.7,1 to 50,1,,
WY,Variant B.1.1.7,1 to 50,5,,
,,,,,
